CA037501:bloatware raczynsm$ kubectl get pods --all-namespaces -o wide
NAMESPACE     NAME                                  READY   STATUS    RESTARTS   AGE    IP             NODE                                         NOMINATED NODE   READINESS GATES
kube-system   aws-node-55cfs                        1/1     Running   1          25m    10.100.2.254   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
kube-system   aws-node-bmhk6                        1/1     Running   0          2m3s   10.100.1.203   ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
kube-system   aws-node-rnbw9                        1/1     Running   0          25m    10.100.3.131   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
kube-system   coredns-f47955f89-rr8s5               1/1     Running   0          29m    10.100.3.246   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
kube-system   coredns-f47955f89-v6pzh               1/1     Running   1          29m    10.100.2.42    ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
kube-system   kube-proxy-8l48r                      1/1     Running   1          25m    10.100.2.254   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
kube-system   kube-proxy-cx5lr                      1/1     Running   0          25m    10.100.3.131   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
kube-system   kube-proxy-nj27l                      1/1     Running   0          2m3s   10.100.1.203   ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-4pcwm   1/1     Running   1          19m    10.100.2.134   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-5gn9g   1/1     Running   0          19m    10.100.3.102   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-6ct5s   1/1     Running   0          19m    10.100.3.162   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-6qpfk   1/1     Running   0          19m    10.100.3.200   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-8dxff   1/1     Running   0          19m    10.100.3.142   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-8rp4p   1/1     Running   1          19m    10.100.2.121   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-bbpr5   1/1     Running   0          19m    10.100.1.176   ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-bgnqk   1/1     Running   1          19m    10.100.2.240   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-nf2ng   1/1     Running   0          19m    10.100.1.243   ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-nqzxp   1/1     Running   0          19m    10.100.1.37    ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-pkzw8   1/1     Running   1          19m    10.100.2.160   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-rpbtp   1/1     Running   1          19m    10.100.2.188   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-t4q9k   1/1     Running   0          19m    10.100.1.88    ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-tbsd7   1/1     Running   0          19m    10.100.3.171   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-tk9lz   1/1     Running   0          19m    10.100.3.124   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-v8f4j   1/1     Running   0          19m    10.100.1.223   ip-10-100-1-203.us-east-2.compute.internal   <none>           <none>
udacity       bloaty-mcbloatface-58c98b98d8-x7svh   1/1     Running   1          19m    10.100.2.69    ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       blue-8475cbdf46-2z9db                 1/1     Running   0          22m    10.100.3.192   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       blue-8475cbdf46-shwmq                 1/1     Running   1          22m    10.100.2.109   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       blue-8475cbdf46-wmv98                 1/1     Running   0          22m    10.100.3.39    ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       canary-v1-64598c676f-bpckv            1/1     Running   0          22m    10.100.3.64    ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       canary-v1-64598c676f-c56th            1/1     Running   0          22m    10.100.3.38    ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       canary-v1-64598c676f-gk8nh            1/1     Running   1          22m    10.100.2.194   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       canary-v1-64598c676f-lzvb4            1/1     Running   1          22m    10.100.2.225   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       canary-v1-64598c676f-qxlmq            1/1     Running   0          22m    10.100.3.55    ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       canary-v1-64598c676f-vzdp8            1/1     Running   1          22m    10.100.2.197   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       green-5cdd96c9b4-cbbmt                1/1     Running   1          22m    10.100.2.9     ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       green-5cdd96c9b4-dll82                1/1     Running   0          22m    10.100.3.191   ip-10-100-3-131.us-east-2.compute.internal   <none>           <none>
udacity       green-5cdd96c9b4-tn7lq                1/1     Running   1          22m    10.100.2.190   ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
udacity       hello-world-794458d64d-gc8j4          1/1     Running   1          22m    10.100.2.56    ip-10-100-2-254.us-east-2.compute.internal   <none>           <none>
